BreakerId,ActiveEnergy,timestamp
1,992282,2026-02-27T07:00:01.545
2,18171,2026-02-27T07:00:01.545
3,433176,2026-02-27T07:00:01.545
4,1027710,2026-02-27T07:00:01.545
5,556132,2026-02-27T07:00:01.545
6,0,2026-02-27T07:00:01.545
7,13320,2026-02-27T07:00:01.546
1,992298,2026-02-27T08:00:01.888
2,18186,2026-02-27T08:00:01.889
3,433176,2026-02-27T08:00:01.889
4,1027730,2026-02-27T08:00:01.889
5,556151,2026-02-27T08:00:01.889
6,0,2026-02-27T08:00:01.889
7,13320,2026-02-27T08:00:01.889
1,992314,2026-02-27T09:00:01.586
2,18200,2026-02-27T09:00:01.586
3,433176,2026-02-27T09:00:01.586
4,1027760,2026-02-27T09:00:01.586
5,556171,2026-02-27T09:00:01.586
6,0,2026-02-27T09:00:01.586
7,13320,2026-02-27T09:00:01.586
1,992330,2026-02-27T10:00:01.550
2,18215,2026-02-27T10:00:01.550
3,433176,2026-02-27T10:00:01.550
4,1027770,2026-02-27T10:00:01.550
5,556190,2026-02-27T10:00:01.550
6,0,2026-02-27T10:00:01.550
7,13320,2026-02-27T10:00:01.550
1,992347,2026-02-27T11:00:01.603
2,18230,2026-02-27T11:00:01.603
3,433176,2026-02-27T11:00:01.603
4,1027780,2026-02-27T11:00:01.603
5,556210,2026-02-27T11:00:01.604
6,0,2026-02-27T11:00:01.604
7,13320,2026-02-27T11:00:01.604
1,992363,2026-02-27T12:00:01.550
2,18245,2026-02-27T12:00:01.550
3,433176,2026-02-27T12:00:01.550
4,1027800,2026-02-27T12:00:01.550
5,556229,2026-02-27T12:00:01.550
6,0,2026-02-27T12:00:01.550
7,13320,2026-02-27T12:00:01.550
1,992380,2026-02-27T13:00:01.601
2,18260,2026-02-27T13:00:01.601
3,433176,2026-02-27T13:00:01.601
4,1027810,2026-02-27T13:00:01.601
5,556247,2026-02-27T13:00:01.601
6,0,2026-02-27T13:00:01.601
7,13320,2026-02-27T13:00:01.601
1,992396,2026-02-27T14:00:01.547
2,18276,2026-02-27T14:00:01.547
3,433176,2026-02-27T14:00:01.547
4,1027820,2026-02-27T14:00:01.547
5,556268,2026-02-27T14:00:01.547
6,0,2026-02-27T14:00:01.547
7,13320,2026-02-27T14:00:01.547
1,992413,2026-02-27T15:00:01.766
2,18291,2026-02-27T15:00:01.766
3,433176,2026-02-27T15:00:01.766
4,1027830,2026-02-27T15:00:01.766
5,556287,2026-02-27T15:00:01.766
6,0,2026-02-27T15:00:01.766
7,13320,2026-02-27T15:00:01.767
1,992429,2026-02-27T16:00:01.544
2,18306,2026-02-27T16:00:01.544
3,433176,2026-02-27T16:00:01.544
4,1027860,2026-02-27T16:00:01.544
5,556306,2026-02-27T16:00:01.544
6,0,2026-02-27T16:00:01.544
7,13320,2026-02-27T16:00:01.544
1,992445,2026-02-27T17:00:01.638
2,18321,2026-02-27T17:00:01.639
3,433176,2026-02-27T17:00:01.639
4,1027890,2026-02-27T17:00:01.639
5,556326,2026-02-27T17:00:01.639
6,0,2026-02-27T17:00:01.639
7,13320,2026-02-27T17:00:01.639
1,992461,2026-02-27T18:00:01.619
2,18335,2026-02-27T18:00:01.619
3,433176,2026-02-27T18:00:01.619
4,1027910,2026-02-27T18:00:01.619
5,556344,2026-02-27T18:00:01.619
6,0,2026-02-27T18:00:01.619
7,13320,2026-02-27T18:00:01.619
1,992477,2026-02-27T19:00:01.519
2,18350,2026-02-27T19:00:01.519
3,433176,2026-02-27T19:00:01.519
